아이디,한글,교정된한글,label
  @user-yr2tk5vo5o,요즘 안까는 사람들이 어딨음 발라드가수들도 다 까는데,요즘 안 까는 사람들이 어딨음 발라드 가수들도 다 까는데,1
  @user-yr2tk5vo5o,못부르는거 아닌데요 님 춤추면서 라이브해보세요 낮은 음도 전혀 아니고 당장 노래방에서 부르려고 하면 생각보다 높아서 못부를텐데이번에 인생네컷 라이브도 찍으셨던데 그럼 그거 보시던가 아니면 님이 좋아하는 애들 영상이나 보세요 뭣하러 시비털고 다녀요심지어 나 타팬이고 심지어 남돌팬인데 하도 까대니까 쉴드쳐주게 되네 진짜,못 부르는 거 아닌데요 님 춤추면서 라이브 해 보세요 낮은 음도 전혀 아니고 당장 노래방에서 부르려고 하면 생각보다 높아서 못 부를 텐데 이번에 인생 네 컷 라이브도 찍으셨던데 그럼 그거 보시던가 아니면 님이 좋아하는 애들 영상이나 보세요 뭣하러 시비 털고 다녀요 심지어 나 타 팬이고 심지어 남들 팬인데 하도 까대니까 실드 쳐주게 되네 진짜,0
  @user-yr2tk5vo5o,나이 제일 많은 멤버가 살로 알고있는데 어린애들 욕해서 뭐가 좋지 진짜실력 더 키워서 더 잘하면 좋겠지만 춤추면서 라이브한거 개판도 아니구만 못한다 어쩐다 욕해서 뭘 바라는건지,나이 제일 많은 멤버가 살로 알고 있는데 어린애들 욕해서 뭐가 좋지 진짜 실력 더 키워서 더 잘하면 좋겠지만 춤추면서 라이브 한 거 개판도 아니구먼 못한다 어쩐다 욕해서 뭘 바라는 건지,0
  @user-yr2tk5vo5o,그니까 요새 다 그렇게 깐다고요사람들이 실력있다고 하는 아이돌들도 다 깔아요체력적인 부분도 있고 성대도 아껴 써야해요모든 음방 라이브 빡세게 하는 팀도 있지만 에이알깐다고 해서 욕할 이유는 아니라구요 라이브를 아예 안하는 것도 아니고 춤추면서 열심히 하고 있으시고만,그니까 요새 다 그렇게 깐다고요 사람들이 실력 있다고 하는 아이돌들도 다 깔아요 체력적인 부분도 있고 성대도 아껴 써야 해요 모든 음방 라이브 빡세게 하는 팀도 있지만 에이 알 깐다고 해서 욕할 이유는 아니라고요 라이브를 아예 안 하는 것도 아니고 춤추면서 열심히 하고 있으시고만,0
  @user-yr2tk5vo5o,다른 댓글보면 팬아닌 분들도 다 칭찬인데요 님만 못보시나 포장이 아니라 님이 혼자 난리치시는거에요,다른 댓글 보면 팬 아닌 분들도 다 칭찬인데요 님만 못 보시나 포장이 아니라 님이 혼자 난리 치시는 거예요,0
  @user-yr2tk5vo5o,제가 봤을 때는 저 정도면 라이브 충분히 잘하고 있는데요 나 팬아니고 팬인 척하는 안티도 아니고 그냥 타팬인데아니 춤추면서 고음에 라이브 저정도면 괜찮은건데 진심다른 댓글들 칭찬 안보세요,제가 봤을 때는 저 정도면 라이브 충분히 잘하고 있는데요 나 팬 아니고 팬인 척하는 안티도 아니고 그냥 타 팬인데 아니 춤추면서 고음에 라이브 저 정도면 괜찮은 건데 진심 다른 댓글들 칭찬 안 보세요,1
  @user-yr2tk5vo5o,리즈 이서도 잘하는 편이라구요제가 모든 멤버 라이브 다 잘한다고 했나요잘하는 편인데 못한다고 왜 포장하냐고 하니까 얼척없어서요,리즈 이서도 잘하는 편이라고 요 제가 모든 멤버 라이브 다 잘한다고 했나요 잘하는 편인데 못한다고 왜 포장하냐고 하니까 얼척없어서요,0
  @user-yr2tk5vo5o,요즘 앵콜이다 라이브다 하도 지랄하는 데 지금 개판친 라이브도 아닌데 어린애들 또 까는게 보이잖아요,요즘 앙코르이다 라이브다 하도 지랄하는 데 지금 개판 치 라이브도 아닌데 어린애들 또 까는 게 보이잖아요,0
  @user-rm1tq2ec6q,안유진 각형 캐릭터  올라운더긴 하지,안유진 각형 캐릭터  올 라운드긴 하지,1
  @user-yr2tk5vo5o,정말 본인 의견만 말해서 제가 급발진 했을까요정말 악의적인 감정이나 까려는 의도 도 없이 그 댓글만 적은게 아닌건 본인이 잘 알겠죠그렇게 생각하고 사세요 언젠간 본인들한테 돌아가요,정말 본인 의견만 말해서 제가 급발진 했을까요 정말 악의적인 감정이나 까려는 의도 도 없이 그 댓글만 적은 게 아닌 건 본인이 잘 알겠죠 그렇게 생각하고 사세요 언젠간 본인들한테 돌아가요,1
  @user-if5jg9gs5y,잘한다는 댓글에 굳이 타인 욕하고 못한다는 말만 수백번 안달난 건 본인인 거 같은데,잘한다는 댓글에 굳이 타인 욕하고 못한다는 말만 수백 번 안달 난 건 본인인 거 같은데,1
  @user-pv7vs5tw4r,길거리나 학원 캐스팅 그게 뭐가 중요함 무대 올라가면 다 프로인데 저 정도면 평규이하인 거지 쉴드 작작 쳐라 ,길거리나 학원 캐스팅 그게 뭐가 중요함 무대 올라가면 다 프로인데 저 정도면 평균 이하인 거지 실드 작작 쳐라 ,0
  @user-pv7vs5tw4r,에이알을 립싱크 수준으로 깔고는 라이브인 척 올려치기 해 주는 너 같은 팬들이 문제야,에이알을 립싱크 수준으로 깔고는 라이브인 척 올려치기 해 주는 너 같은 팬들이 문제야,0
  @user-if5jg9gs5y,정신 불안정한 거 티내지 말고 유튜브 끊길,정신 불안정한 거 티 내지 말고 유튜브 끊길,0
  @user-hm5or2xb8g,본무대는 에이알 잔뜩 깐 거 맞는데 이건 에이알 제거된 거 같은데 가을 장원영 파트 보면 일부 립싱크한 거 티나는데 에이알이 어떻게 나오다 안나오다 합니까 리즈 파트 보면 춤추면서 옥 솔 충분히 잘 올리는데 리즈를 못한다고 하는 이유는 진짜 모르겠음,본무대는 에이알 잔뜩 깐 거 맞는데 이건 에이알 제거된 거 같은데 가을 장원영 파트 보면 일부 립싱크한 거 티 나는데 에이알이 어떻게 나오다 안 나오다 합니까 리즈 파트 보면 춤추면서 옥 솔 충분히 잘 올리는데 리즈를 못한다고 하는 이유는 진짜 모르겠음,0
  @user-hm5or2xb8g,근데 왜 리즈가 못한다는 거죠 본무대는 에이알도 많이 깔려있는데,근데 왜 리즈가 못한다는 거죠 본무대는 에이알도 많이 깔려있는데,0
  @user-pr2qr2zx4f,리즈이서레이,리즈에서 레이,1
  @user-wz3zx7vr8t,아이브 보면 전체 엠알깔긴깔아서 원래못소리찾기힘듬리즈 이서 안유진 아이돌 치고는 노래잘한다고 쳐야됨요즘아이돌들이 립싱크하는경우랑 라이브 개망하는경우가많아서 그애들보단 잘하는거맞음 근데 요즘 가수는 춤을 추는거랑 노래하는거랑 같이 잘해야된다는 의견이많아서 악플 아닌 악플이 달리는거같음,아이브 보면 전체 엠알 깔긴 깔아서 원래 못소리 찾기 힘듦 리즈 이서 안유진 아이돌 치고는 노래 잘한다고 쳐야 됨 요즘 아이돌들이 립싱크하는 경우랑 라이브 개망하는경우가많아서 그 애들보단 잘하는 거 맞음 근데 요즘 가수는 춤을 추는 거랑 노래하는 거랑 같이 잘해야 된다는 의견이 많아서 악플 아닌 악플이 달리는 거 같음,1
  @user-pr2qr2zx4f,에이알범벅인 르세라핌 라이브무대반응 춤추면서 라이브하니까 실력파맞네 음치멤버들도 노력하며 라이브하니까 실력파그룹맞네 멤버명중 명이 보컬되니까 실력파그룹라고 칩시다,에이아르 범벅인 르세라핌 라이브 무대 반응 춤추면서 라이브 하니까 실력파 맞네 음치 멤버들도 노력하며 라이브 하니까 실력파 그룹 맞네 멤버 명중 명이 보컬 되니까 실력파 그룹 내고 칩시다,0
  @user-io2ah4ix8w,라이브는 에이알뒤에 다 들리던데요,라이브는 에이알 뒤에 다 들리던데요,1
  @user-io2ah4ix8w,안유진 빼고 다 못한다는 대댓글을 왜 내 댓글에다 적는거임,안유진 빼고 다 못한다는 때 댓글을 왜 내 댓글에다 적는 거임,0
  @user-up3ie4no9x,여기서 사람들 재미나게들 사시네아이브에 관심없고 다른 팀도 관심 없는디노래 좋아서 여기까지 왔네요항상 승승장구 하시길 바랍니다악플러들 악플 단다고 뭐라 하시는 분들 많으신데 걍 냅두세요어차피 이렇게 욕 먹어도 돈은 아이브가 아이돌 중에 탑급으로 벌 것 같은디,여기서 사람들 재미나게들 사시네 아이브에 관심 없고 다른 팀도 관심 없는데 노래 좋아서 여기까지 왔네요 항상 승승장구하시길 바랍니다 악플러들 악플 단다고 뭐라 하시는 분들 많으신데 그냥 내버려 두세요 어차피 이렇게 욕먹어도 돈은 아이브가 아이돌 중에 탑 급으로 벌 것 같은데,1
  @Nuclear_Launch,니 귀를 잘라,네 귀를 잘라,0
  @Nuclear_Launch,혼자 발작하는 밑바닥 인생,혼자 발작하는 밑바닥 인생,0
  @Nuclear_Launch,하이브 알바들임,하이브 알바들임,0
  @sjskdjdhvdbwbw,원래 본무대에선 다들 에이알 깔아요 아 아이브만 보고 케이팝 들으시나보네요,원래 본무대에선 다들 에이알 깔아요 아 아이브만 보고 케이팝 들으시나 보네요,0
  @user-hh5sf6ph7b,이서랑레이는봐줄만하는데,이 서랑 레이는 봐줄만하는데,1
  @Cheese_0512,진짜 아이브 데뷔때부터 안유진 노래 잘하던데 왜 욕하는지 몰랐음 제대로 악플러들 아가리 다물고있었으면 ,진짜 아이브 데뷔 때부터 안유진 노래 잘하던데 왜 욕하는지 몰랐음 제대로 악플러들 아가리 다물고 있었으면 ,0
  @Cheese_0512,잘하면 잘하는거지 못하는 애 옆에있어서 그런거라고 욕하는거보면 진짜 수준 딱나오네 그런건 무시합시다,잘하면 잘하는 거지 못하는 애 옆에 있어서 그런 거라고 욕하는 거 보면 진짜 수준 딱 나오네 그런 건 무시합시다,1
  @tangsususa8334,또또 아이브한테만  각박하지  뉴진스도 아이브랑 같은수준인데,또또 아이브한테만  각박하지  뉴 진스도 아이브랑 같은 수준인데,0
  @user-xs4zk9sb4z,리즈 유진이는 원래도 실력 좋은 거 알고 있었지만 이번 신곡이 많이 어려워보여서 또 까이지 않을까 생각했는데 진짜 너무 잘한다 이서도 연습 마니 한 듯 깔끔하다,리즈 유진이는 원래도 실력 좋은 거 알고 있었지만 이번 신곡이 많이 어려워 보여서 또 까이지 않을까 생각했는데 진짜 너무 잘한다 이서도 연습 많이 한 듯 깔끔하다,1
  @user-eu4bh7zh6u,다들 파트 거의 안 빼먹고 다 잘 불렀네컴백 너무 축하하고 다들 화이팅,다들 파트 거의 안 빼먹고 다 잘 불렀네 컴백 너무 축하하고 다들 파이팅,1
  @user-se7zu4jx9l,유진이랑 리즈는 진짜 잘 부른다,유진이랑 리즈는 진짜 잘 부른다,1
  @user-og6qd8jo4e,안유진 리즈 피치 정확한 거 너무 좋다,안유진 리즈 피치 정확한 거 너무 좋다,1
  @user-yu8vi7qs7u,이서 진짜 잘한다,이서 진짜 잘한다,1
  @user-uu7sl9ep3b,유진리즈는 보란듯이 고음 질러버리고 이서는 엠알제거가 더 쫀득하게 잘부르고 원녕가을은 실력이 점점 늘어가고 완벽하다 아이브레이 아프지마,유진 리즈는 보란 듯이 고음 질러버리고 이서는 엠알 제거가 더 쫀득하게 잘 부르고 안녕 가을은 실력이 점점 늘어가고 완벽하다 아이브 레이 아프지 마,1
  @junsupark3696,와 악플러들 깔끔하게 정리하는 모습 개멋지다 고음파트 개잘부르네 그냥,와 악플러들 깔끔하게 정리하는 모습 개 멋지다 고음 파트 개잘 부르네 그냥,1
  @user-qn6st6nd3u,다만 한 분은 오늘도,다만 한 분은 오늘도,1
  @user-qg9tp8ql5t,어허,어허,1
  @honeykja9175,안유진이 아이브네 저 미친 고음을 춤추면서 다 헤내고 있어 이서 진짜 놀랍게 모든 본인 파트를 다 부르고 지원이 보컬이야 말해 뭐해 다들 잘하네,안유진이 아이브네 저 미친 고음을 춤추면서 다 해내고 있어 이서 진짜 놀랍게 모든 본인 파트를 다 부르고 지원이 보컬이야 말해 뭐해 다들 잘하네,1
  @user-lo3qj4sr5l,에이알인거 모르는 사람도 있구나,에이알인 거 모르는 사람도 있구나,1
  @user-le5dc7zu8u,와 막귀,와 막귀,0
  @user-db4dc8ch3y,엥 저게 에이알이라고 중간중간 비는부분이 있는데 어케 에이알임,엥 저게 에이알이라고 중간중간 비는 부분이 있는데 어떻게 에이알임,1
  @user-lo3qj4sr5l,진짜 잼민이들이네 음원에이알이 아니고 라이브에이알이라고 엠알제거 안걸리게 음방용 음원으로 사전 녹음 하는게 있음 지금 음방 아이돌 무대 대부분이 라이브에이알 씁니다,진짜 잼민이들이네 음원 에이알이 아니고 라이브에 이알이라고 엠알 제거 안 걸리게 이방용 음원으로 사전 녹음하는 게 있음 지금 음방 아이돌 무대 대부분이 라이브 에이알 씁니다,1
  @user-db4dc8ch3y,아니 그렇다해도 그럼 원영이 솔직히 한파트는 하겠지욕먹을려고 작정하는것도 아니고 사전녹음으로 만드는데 원영이 하나도 안들릴리가,아니 그렇다 해도 그럼 원영이 솔직히 한 파트는 하겠지 욕먹으려고 작정하는 것도 아니고 사전녹음으로 만드는데 원영이 하나도 안 들릴 리가,0
  @musicyoutube5062,에이알이랑 라이브에이알이랑 구분 못하나보네 쟤네는 에이알 깔고 라이브를 한거고라이브 에이알은 사전에 라이브처럼 한큐에 녹음해서 라이브하는척 한거고 스타쉽에서 라이브에이알 한 팀 못 봤는데 스엠이나 그런거 하지,에이알이랑 라이브에 이알이랑 구분 못하나 보네 쟤네는 에이알 깔고 라이브를 한 거고 라이브 에이알은 사전에 라이브처럼 한큐에 녹음해서 라이브 하는 척 한 거고 스타십에서 라이브 에이알 한 팀 못 봤는데 시엠이나 그런 거 하지,0
  @user-lo3qj4sr5l,뭔  멜뮤같은 연말시상식 할때 아이돌들 스탭용 큐시트 다 유출되는데 여자친구 청하 아이들 이런 애들도 다 라이브에이알 깔고 함  아이브도 라이브에이알,뭔  멜뮤같은 연말 시상식 할 때 아이돌들 스탭용 큐시트 다 유출되는데 여자친구 청하 아이들 이런 애들도 다 라이브 에이알 깔고 함  아이브도 라이브 에이알,1
  @user-lo3qj4sr5l,그리고 에이알을 깔고 라이브를 했다는 무슨 소리신지,그리고 에이알을 깔고 라이브를 했다는 무슨 소리 신지,1
  @musicyoutube5062,연말에서는 라이브에이알 쓰는 팀 많긴 하지이건 에이알 깔고 부른 라이브여요 아예 직캠이나 송출 영상으로 보고 와봐 거기서도 들림 라이브에이알 깔고 아예 립싱한 영상이 아니라고 엠알제거 굳이 안 들어도 방송에서 들리는데 머,연말에서는 라이브 에이알 쓰는 팀 많긴 하지이건 에이알 깔고 부른 라이브여요 아예 직캠이나 송출 영상으로 보고 와봐 거기서도 들림 라이브 에이알 깔고 아예 립싱한 영상이 아니라고 엠알 제거 굳이 안 들어도 방송에서 들리는데 머,1
  @musicyoutube5062,뭐야 에이알 깔고 라이브한거랑 라이브에이알 따로 녹음한거랑 다른걸 모르는거였어 알았다,뭐야 에이알 깔고 라이브 한 거랑 라이브 에이알 따로 녹음한 거랑 다른 걸 모르는 거였어 알았다,1
  @user-lo3qj4sr5l,에이알에 라이브하면 보컬 소리가 이중으로 들리겠죠  말씀하시고 싶은건 엠알 아닌가요 엠알 제거가 뭔지도 모르시노,에이알에 라이브 하면 보컬 소리가 이중으로 들리겠죠  말씀하시고 싶은 건 엠알 아닌가요 엠알 제거가 뭔지도 모르시노,1
  @user-lo3qj4sr5l,그리고 연말보다 음방이 훨씬 더 립싱이 많습니다  거기다 컴백주인데 라이브하는 아이돌 진짜 거의 없다고 보면 되고  연말때 라이브하는 방탄소년단도 음방에서는 거의 라이브에이알씀,그리고 연말보다 음방이 훨씬 더 립 시이 많습니다  거기다 컴백 후인데 라이브 하는 아이돌 진짜 거의 없다고 보면 되고  연말 때 라이브 하는 방탄소년단도 음방에서는 거의 라이브 에이알 씀,1
  @user-ng2ir2rj9g,방송에서도 이중으로 들리는데 그냥 까고싶어서 라이브인거 못 믿겠다고 해요컴백주인데 라이브 안하는거 그게 언제적 얘기야 세대세대 스엠 얘기 아니여,방송에서도 이중으로 들리는데 그냥 까고 싶어서 라이브인 거 못 믿겠다고 해요 컴백 후인데 라이브 안 하는 거 그게 언제 적 얘기야 세대 세대 시엠 얘기 아니야,0
  @user-lo3qj4sr5l,이 당연한 것도 모르고 언젯적 컨텐츠인 라이브엠알제거 영상 보면서 우리 언니오빠들 라이브 잘한다고 믿는 개돼지들이 그저 웃김,이 당연한 것도 모르고 언제 적 콘텐츠인 라이브 엠알 체거 영상 보면서 우리 언니 오빠들 라이브 잘한다고 믿는 개돼지들이 그저 웃김,0
  @hmS1004,얼마나 할짓이없으면 굳이 영상 들어와서 댓글마다 까고싶어 안달이지 못한다고 생각하면 안보면 되는거 아닌가,얼마나 할 짓이 없으면 굳이 영상 들어와서 댓글마다 까고 싶어 안달이지 못한다고 생각하면 안 보면 되는 거 아닌가,1
  @user-bi7xy2uk7s,라이브해서 본무대에서도 겹쳐 들리는 데 뭔 개솔 눈막귀막 억까 지림,라이브 해서 본무대에서도 겹쳐 들리는 데 뭔 개소리 눈 막 귀 막 얼까 지림,0
  @user-bm9wq7pc4e,라이브에이알 아니에요 모르면 제발 가만히 있으시면 안 될까요 넘 창피해요,라이브 에이알 아니에요 모르면 제발 가만히 있으시면 안 될까요 너무 창피해요,1
  @user-vu2st7vq3r,그냥 라이브해도 지랄 안해도 지랄인 흔한 방구석 악플러를 뭣하러 열심히 시간써가며 댓들 달아줌 그냥 지 믿고싶은대로 살고 싶은가보지  걍 냅둬요 ,그냥 라이브 해도 지랄 안 해도 지랄인 흔한 방구석 악플러를 뭣하러 열심히 시간 써가며 댓글 달아줌 그냥 지 믿고 싶은 대로 살고 싶은가 보지  그냥 내버려 둬요 ,0
  @user-hm5or2xb8g,그러면 라이브 엠알제거 중 망해버린 무대는 뭡니까 그것도 일부러 망한 것처럼 들리게 에이알 라이브를 짜요 가을파트 안유진 파트 다 조금씩은 립싱크하는 게 보이는데 그 비는 부분도 일부러 비게 한거라고요 말이 되는 소릴 하나,그러면 라이브 엠알 제거 중 망해버린 무대는 뭡니까 그것도 일부러 망한 것처럼 들리게 에이알 라이브를 짜요 가을 파트 안유진 파트 다 조금씩은 립싱크하는 게 보이는데 그 비는 부분도 일부러 비게 한 거라고요 말이 되는 소릴 하나,0
  @merged3034,직접 가서 사녹 뛰고 온 사람인데 라이브 맞습니다 라이브에이알이랑 차이 나요,직접 가서 사 녹 뛰고 온 사람인데 라이브 맞습니다 라이브에 이알이랑 차이 나요,1
  @merged3034,아이브 라이브 못한다고 욕하다가 이제 잘하니까 이악물고 에이알이라고 우김 ,아이브 라이브 못한다고 욕하다가 이제 잘하니까 이 악물고 에이알이라고 우김 ,0
  @user-pr2qr2zx4f,그와중에 르세라핌 뉴진스는 쏙빼는거보소 세대에서 르세라핌처럼 에이알덕본 그룹도 없을텐데음치수준멤버가 명이나 있어서 에이알시스템없었으면 큰일날뻔한그룹,그 와중에 르세라핌 뉴 진스는 쏙 빼는 거 보소 세대에서 르세라핌처럼 에이알 덕본 그룹도 없을 텐데 음치 수준 멤버가 명이나 있어서 에이 알 시스템 없었으면 큰일 날뻔한 그룹,0
  @user-tu6ir4hn6x,여기에 릇 늊 같이 언급하는 니도 쟤랑 동급임,여기에 르 늊 같이 언급하는 너도 쟤랑 동급임,0
  @user-wz5wp3bx4m,아는척이 하고 싶었을 뿐이지 않을까,아는 척이 하고 싶었을 뿐이지 않을까,0
  @Nuclear_Launch,귀 장식이니,귀 장식이니,0
  @sloth0328,잼민이는 본인이구만 목소리 비는 부분도 많고 삑사리도 나고 머리카락 마이크에 걸리니까 부르다가고 안 들리는 부분들 많음 그런게 라이브가 아님 뭐,잼만 이는 본인이구먼 목소리 비는 부분도 많고 삑사리도 나고 머리카락 마이크에 걸리니까 부르다가고 안 들리는 부분들 많음 그런 게 라이브가 아님 뭐,0
  @tia2970,억까는 니가 하는게 억까곸,얼까는 네가 하는 게 억까곸,0
  @user-bi7xy2uk7s,무슨 억까 팩트만 말했는데 어느부분이 억까임 억까가 뭔진 알고 쓰는 거임,무슨 얼까 팩트만 말했는데 어느 부분이 억까임 얼까가 뭔지 알고 쓰는 거임,0
  @user-er7dh1cv3n,라이브 에이알은 엠알제거 했을때 끊기는 부분도 없고 소리도 일정하니 엄청 안정적임 이 영상은 중간중간 소리 엄청 작아지거나 아예 안들리는 부분도 있고 라이브하는 티 팍팍나는구만 뭔 이거 원본 영상으로 봐도 유진 이서 리즈는 에이알로 깔린 노랫소리 뚫고 라이브 하는 부분 많이 들림,라이브 에이알은 엠알 제거했을 때 끊기는 부분도 없고 소리도 일정하니 엄청 안정적임 이 영상은 중간중간 소리 엄청 작아지거나 아예 안 들리는 부분도 있고 라이브 하는 티 팍팍 나는구먼 뭔 이거 원본 영상으로 봐도 유진 이서 리즈는 에이알로 깔린 노랫소리 뚫고 라이브 하는 부분 많이 들림,1
  @xx5237,안유진이 아이브 정체성인듯 올라운더에다 비주얼까지 갖춘 리더 진짜 최고다,안유진이 아이브 정체성인 듯 올 라운드에다 비주얼까지 갖춘 리더 진짜 최고다,1
  @user-wf3nw1dx2c,유진이랑 리즈 미쳤네 고음 쭉쭉 뽑네,유진이랑 리즈 미쳤네 고음 쭉쭉 뽑네,1
  @user-op5rt8sp4z,유진이 넘 고생했다 진짜 짱이야,유진이 너무 고생했다 진짜 최고야,1
  @user-bk9no6ge9r,진짜 아이엠은 상상 이상으로 잘한다,진짜 아이엠은 상상 이상으로 잘한다,1
  @bella.5,음역대가 높은 노래인데 춤추면서 너무 잘한다,음역대가 높은 노래인데 춤추면서 너무 잘한다,1
  @user-yf7vz3gz5c,이서 진짜 너무 많이 늘었다,이서 진짜 너무 많이 늘었다,1
  @ier_ta,유진이 후렴 고음 치는 거 마음에 든다,유진이 후렴 고음 치는 거 마음에 든다,1
  @H._.654,이서 노래 실력 진짜 늘었다,이서 노래 실력 진짜 늘었다,1
  @Chiikawa_,와  지리네 안유진 리즈 이서 진짜 대박이네,와  지리네 안유진 리즈 이서 진짜 대박이네,1
  @user-mq8xv6rx1o,이서 음색이 미쳤음 이번에 킬링파트임,이서 음색이 미쳤음 이번에 킬링 파트임,1
  @lolololollllllllllliiiiii,장원영 얼굴 개이쁨,장원영 얼굴 개이쁨,1
  @Tryout_If,장원영은 이쁘고 이서도 이쁘고 근데 이번에 이서 음색이 미쳐버린거지 개쩜,장원영은 이쁘고 이서도 이쁘고 근데 이번에 이서 음색이 미쳐버린 거지 개쩜,1
  @_vlog11-is2fi,이서 음색이 너무 좋슴미다,이서 음색이 너무 좋습니다,1
  @yey4htfi543,리즈 미쳤나 와 진자 및 어떻게 저렇게 자연스럽게 잘하냐 고음 자세 잡고 해야되는데 걍 움직이면서도  잘해서 놀람 진짜 너무 잘하네,리즈 미쳤나 와 진자 및 어떻게 저렇게 자연스럽게 잘하냐 고음 자세 잡고 해야 되는데 그냥 움직이면서도  잘해서 놀람 진짜 너무 잘하네,1
  @ninyodo,유진이 미쳤다 리즈는 원래 잘하구 이서 왤케많이 늘었어  잘한다,유진이 미쳤다 리즈는 원래 잘하고 이서 왜 이렇게 많이 늘었어  잘한다,1
  @Bong_e,와 리즈 유진이 라이브 개잘하네 하드캐리함 음역대가 너무 높아서 춤추면서 가능할까 싶었는데 대박 또 열심히 하는게 보여서 그냥 이쁨,와 리즈 유진이 라이브 개 잘하네 하드캐리함 음역대가 너무 높아서 춤추면서 가능할까 싶었는데 대박 또 열심히 하는 게 보여서 그냥 이쁨,1
  @user-ci1pw2rl2r,리즈랑 유진이는 정말 아이브에 없어서는 안 될 존재네요,리즈랑 유진이는 정말 아이브에 없어서는 안 될 존재네요,1
  @user-ic6oo4et6j,유진 리즈 이서는 라이브 열심히하는것같아 너무 좋음,유진 리즈 이서는 라이브 열심히 하는 것 같아 너무 좋음,1
  @user-vl6vi3pj2d,아니 이서파트 들을때마다 소름돋아 개잘해 이서,아니 이서 파트 들을 때마다 소름 돋아 개 잘해 이서,1
  @garonelane8525,안유진이랑 리즈는 진짜 잘하고 이서는 발전 가능성이 보인다 전보다 훨씬 좋네,안유진이랑 리즈는 진짜 잘하고 이서는 발전 가능성이 보인다 전보다 훨씬 좋네,1
  @user-qi6dn1xi2v,리즈 유진 고음 미쳤다,리즈 유진 고음 미쳤다,1
  @myeongjaeee2123,요즘 라이브로 노래까지하는 걸그룹 많이 없어져서 씁쓸했는데 아이브 라이브 넘넘 좋타,요즘 라이브로 노래까지 하는 걸그룹 많이 없어져서 씁쓸했는데 아이브 라이브 넘넘 좋다,1
  @Johnn1101Y,당연히 힘들수밖에 없지 정말 잘하는편인거죠 이렇게 고음에 춤추기 까지 해야하니까아이브 홧팅,당연히 힘들 수밖에 없지 정말 잘하는 편인 거죠 이렇게 고음에 춤추기까지 해야 하니까 아이브 파이팅,1
  @user-to5ln1wx7k,보컬 연습도 충실히 해서 아이브 인 모두 인정 받는 가수로 성장하길 바랄게요,보컬 연습도 충실히 해서 아이브인 모두 인정받는 가수로 성장하길 바랄게요,1
  @leehwayeonbb,리즈야 너무 잘한다,리즈야 너무 잘한다,1
  @ham_514,와 리즈유진 미쳤다이게 가능해,와 리즈 유진 미쳤다 하게 가능해,1
  @user-cw3dz3ls5q,유진이가 깔아주고 리즈가 뛰어다님,유진이가 깔아주고 리즈가 뛰어다님,1
  @Ooll2i,리즈가 뛰어다닌다고 말하니깐 뭔가 리즈가 진짜 룰루랄라 뛰어다닐것 같음  아 귀여워,리즈가 뛰어다닌다고 말하니깐 뭔가 리즈가 진짜 룰루랄라 뛰어다닐 것 같음  아 귀여워,1
  @user-yz1qo1gm2h,스타쉽이 보컬로는 진짜 좋다고 생각했는데 역시 아이브도 스타쉽인가봄 크으 많이 늘었다,스타십이 보컬로는 진짜 좋다고 생각했는데 역시 아이브도 스타십인가 봄 으으 많이 늘었다,1
  @user-jm4nq4wt4s,와 아이브 고음 시원하고 노래 연습 많이 했다역시 믿고 듣는 아이브 최고의 아이돌,와 아이브 고음 시원하고 노래 연습 많이 했다 역시 믿고 듣는 아이브 최고의 아이돌,1
  @tangtaradang,이서 성장 대박이네,이서 성장 대박이네,1
  @hamzzzii35,안유진너무잘부른다,안유진 너무 잘 부른다,1
  @user-er9wn3fg8t,이서는 원래 라이브 탄탄한 멤버인데 연말시상식 립싱크 때문에 내려침 당하는 거 너무 안타까웠음 확실히 레이와 함께 메보 포지션 리즈 안유진을 받쳐줄만한 캐릭터로 잘 성장할 것 같음,이서는 원래 라이브 탄탄한 멤버인데 연말 시상식 립싱크 때문에 내려침 당하는 거 너무 안타까웠음 확실히 레이와 함께 메고 포지션 리즈 안유진을 받쳐줄 만한 캐릭터로 잘 성장할 것 같음,1
  @user-me8hv4ns4l,장원영이 립싱크를 해야하는데 같이 무대를 나와야 되니깐  혼자 라이브하면 이상하니깐,장원영이 립싱크를 해야 하는데 같이 무대를 나와야 되니깐  혼자 라이브 하면 이상하니깐,0
  @tigdf_nki_gik,닉은 본인 얘긴가여,닉은 본인 얘긴가요,0
  @user-hm5or2xb8g,이서의 보컬실력 자체는 괜찮은데 아이즈원 시절 원영만큼이나 비음이 심한 건 좀 아쉬움,이서의 보컬 실력 자체는 괜찮은데 아이즈원 시절 원영만큼이나 비음이 심한 건 좀 아쉬움,0
  @psb1687,노래 할 때 호흡소리 나오는 거  지렸고,노래할 때 호흡소리 나오는 거  지렸고,0
  @psb1687,안유진 사랑해,안유진 사랑해,1
  @uusidvkakk,리즈 유진 이서 너무 잘하고 가을이도 래핑 잘하는듯,리즈 유진 이서 너무 잘하고 가을이도 래핑 잘하는 듯,1
  @nye_if_clover,이거 라이브 되나 하는 생각이 들었는데 유진이 와 멋있다,이거 라이브 되나 하는 생각이 들었는데 유진이 와 멋있다,1
  @Sseeeeppp,리즈유진은 원래 잘하는건 알고있었는데이서가을도 잘한다,리즈 유진은 원래 잘하는 건 알고 있었는데 이서 가을도 잘한다,1
